date	practiceId	practiceListSize	newCases
2020-03-31	P87014	3894	0
2020-04-01	P87014	3894	0
2020-04-02	P87014	3894	0
2020-04-03	P87014	3894	0
2020-04-04	P87014	3894	0
2020-04-05	P87014	3894	0
2020-04-06	P87014	3894	0
2020-04-07	P87014	3894	0
2020-04-08	P87014	3894	0
2020-04-09	P87014	3894	0
2020-04-10	P87014	3894	1
2020-04-11	P87014	3894	0
2020-04-12	P87014	3894	1
2020-04-13	P87014	3894	0
2020-04-14	P87014	3894	0
2020-04-15	P87014	3894	1
2020-04-16	P87014	3894	0
2020-04-17	P87014	3894	0
2020-04-18	P87014	3894	0
2020-04-19	P87014	3894	0
2020-04-20	P87014	3894	0
2020-04-21	P87014	3894	0
2020-04-22	P87014	3894	0
2020-04-23	P87014	3894	1
2020-04-24	P87014	3894	0
2020-04-25	P87014	3894	0
2020-04-26	P87014	3894	0
2020-04-27	P87014	3894	0
2020-04-28	P87014	3894	0
2020-04-29	P87014	3894	0
2020-04-30	P87014	3894	0
2020-05-01	P87014	3894	0
2020-05-02	P87014	3894	0
2020-05-03	P87014	3894	0
2020-05-04	P87014	3894	0
2020-05-05	P87014	3894	0
2020-05-06	P87014	3894	0
2020-05-07	P87014	3894	0
2020-05-08	P87014	3894	0
2020-05-09	P87014	3894	0
2020-05-10	P87014	3894	0
2020-05-11	P87014	3894	0
2020-05-12	P87014	3894	0
2020-03-01	P87015	3499	0
2020-03-02	P87015	3499	0
2020-03-03	P87015	3499	0
2020-03-04	P87015	3499	0
2020-03-05	P87015	3499	0
2020-03-06	P87015	3499	0
2020-03-07	P87015	3499	0
2020-03-08	P87015	3499	0
2020-03-09	P87015	3499	0
2020-03-10	P87015	3499	0
2020-03-11	P87015	3499	0
2020-03-12	P87015	3499	0
2020-03-13	P87015	3499	0
2020-03-14	P87015	3499	0
2020-03-15	P87015	3499	0
2020-03-16	P87015	3499	0
2020-03-17	P87015	3499	0
2020-03-18	P87015	3499	0
2020-03-19	P87015	3499	0
2020-03-20	P87015	3499	0
2020-03-21	P87015	3499	0
2020-03-22	P87015	3499	0
2020-03-23	P87015	3499	0
2020-03-24	P87015	3499	0
2020-03-25	P87015	3499	0
2020-03-26	P87015	3499	1
2020-03-27	P87015	3499	0
2020-03-28	P87015	3499	0
2020-03-29	P87015	3499	0
2020-03-30	P87015	3499	0
2020-03-31	P87015	3499	0
2020-04-01	P87015	3499	0
2020-04-02	P87015	3499	0
2020-04-03	P87015	3499	0
2020-04-04	P87015	3499	0
2020-04-05	P87015	3499	0
2020-04-06	P87015	3499	0
2020-04-07	P87015	3499	0
2020-04-08	P87015	3499	0
2020-04-09	P87015	3499	0
2020-04-10	P87015	3499	0
2020-04-11	P87015	3499	0
2020-04-12	P87015	3499	0
2020-04-13	P87015	3499	0
2020-04-14	P87015	3499	0
2020-04-15	P87015	3499	0
2020-04-16	P87015	3499	0
2020-04-17	P87015	3499	0
2020-04-18	P87015	3499	0
2020-04-19	P87015	3499	0
2020-04-20	P87015	3499	0
2020-04-21	P87015	3499	0
2020-04-22	P87015	3499	0
2020-04-23	P87015	3499	0
2020-04-24	P87015	3499	0
2020-04-25	P87015	3499	0
2020-04-26	P87015	3499	0
2020-04-27	P87015	3499	0
2020-04-28	P87015	3499	0
2020-04-29	P87015	3499	0
2020-04-30	P87015	3499	0
2020-05-01	P87015	3499	0
2020-05-02	P87015	3499	0
2020-05-03	P87015	3499	0
2020-05-04	P87015	3499	0
2020-05-05	P87015	3499	0
2020-05-06	P87015	3499	0
2020-05-07	P87015	3499	0
2020-05-08	P87015	3499	0
2020-05-09	P87015	3499	0
2020-05-10	P87015	3499	0
2020-05-11	P87015	3499	0
2020-05-12	P87015	3499	0
2020-03-01	P87016	12872	0
2020-03-02	P87016	12872	0
2020-03-03	P87016	12872	0
2020-03-04	P87016	12872	0
2020-03-05	P87016	12872	0
2020-03-06	P87016	12872	0
2020-03-07	P87016	12872	0
2020-03-08	P87016	12872	0
2020-03-09	P87016	12872	0
2020-03-10	P87016	12872	0
2020-03-11	P87016	12872	0
2020-03-12	P87016	12872	0
2020-03-13	P87016	12872	0
2020-03-14	P87016	12872	0
2020-03-15	P87016	12872	0
2020-03-16	P87016	12872	0
2020-03-17	P87016	12872	0
2020-03-18	P87016	12872	0
2020-03-19	P87016	12872	0
2020-03-20	P87016	12872	0
2020-03-21	P87016	12872	0
2020-03-22	P87016	12872	0
2020-03-23	P87016	12872	0
2020-03-24	P87016	12872	0
2020-03-25	P87016	12872	0
2020-03-26	P87016	12872	0
2020-03-27	P87016	12872	0
2020-03-28	P87016	12872	0
2020-03-29	P87016	12872	0
2020-03-30	P87016	12872	0
2020-03-31	P87016	12872	0
2020-04-01	P87016	12872	0
2020-04-02	P87016	12872	1
2020-04-03	P87016	12872	0
2020-04-04	P87016	12872	0
2020-04-05	P87016	12872	0
2020-04-06	P87016	12872	0
2020-04-07	P87016	12872	1
2020-04-08	P87016	12872	0
2020-04-09	P87016	12872	0
2020-04-10	P87016	12872	0
2020-04-11	P87016	12872	0
2020-04-12	P87016	12872	0
2020-04-13	P87016	12872	1
2020-04-14	P87016	12872	2
2020-04-15	P87016	12872	1
2020-04-16	P87016	12872	0
2020-04-17	P87016	12872	0
2020-04-18	P87016	12872	0
2020-04-19	P87016	12872	0
2020-04-20	P87016	12872	1
2020-04-21	P87016	12872	0
2020-04-22	P87016	12872	0
2020-04-23	P87016	12872	0
2020-04-24	P87016	12872	0
2020-04-25	P87016	12872	0
2020-04-26	P87016	12872	0
2020-04-27	P87016	12872	0
2020-04-28	P87016	12872	0
2020-04-29	P87016	12872	0
2020-04-30	P87016	12872	0
2020-05-01	P87016	12872	0
2020-05-02	P87016	12872	0
2020-05-03	P87016	12872	0
2020-05-04	P87016	12872	0
2020-05-05	P87016	12872	0
2020-05-06	P87016	12872	0
2020-05-07	P87016	12872	0
2020-05-08	P87016	12872	0
2020-05-09	P87016	12872	0
2020-05-10	P87016	12872	0
2020-05-11	P87016	12872	0
2020-05-12	P87016	12872	0
2020-03-01	P87017	5193	0
2020-03-02	P87017	5193	0
2020-03-03	P87017	5193	0
2020-03-04	P87017	5193	0
2020-03-05	P87017	5193	0
2020-03-06	P87017	5193	0
2020-03-07	P87017	5193	0
2020-03-08	P87017	5193	0
2020-03-09	P87017	5193	0
2020-03-10	P87017	5193	0
2020-03-11	P87017	5193	0
2020-03-12	P87017	5193	0
2020-03-13	P87017	5193	0
2020-03-14	P87017	5193	0
2020-03-15	P87017	5193	0
2020-03-16	P87017	5193	0
2020-03-17	P87017	5193	0
2020-03-18	P87017	5193	0
2020-03-19	P87017	5193	0
2020-03-20	P87017	5193	0
2020-03-21	P87017	5193	0
2020-03-22	P87017	5193	0
2020-03-23	P87017	5193	0
2020-03-24	P87017	5193	0
2020-03-25	P87017	5193	0
2020-03-26	P87017	5193	0
2020-03-27	P87017	5193	1
2020-03-28	P87017	5193	0
2020-03-29	P87017	5193	0
2020-03-30	P87017	5193	0
2020-03-31	P87017	5193	1
2020-04-01	P87017	5193	0
2020-04-02	P87017	5193	0
2020-04-03	P87017	5193	0
2020-04-04	P87017	5193	0
2020-04-05	P87017	5193	0
2020-04-06	P87017	5193	0
2020-04-07	P87017	5193	0
2020-04-08	P87017	5193	0
2020-04-09	P87017	5193	0
2020-04-10	P87017	5193	0
2020-04-11	P87017	5193	0
2020-04-12	P87017	5193	0
2020-04-13	P87017	5193	0
2020-04-14	P87017	5193	0
