Year,AnxietyDisorders
2005,16
2005,7
2005,19
2005,14
2005,19
2005,1
2005,11
2005,2
2005,16
2005,21
2005,18
2005,18
2005,13
2005,13
2005,2
2005,16
2005,1
2005,17
2005,19
2005,14
2005,14
2005,11
2005,6
2005,11
2005,10
2005,13
2005,12
2005,11
2005,7
2005,10
2005,11
2005,1
2005,1
2005,15
2005,12
2005,19
2005,7
2005,18
2005,10
2005,16
2005,17
2005,21
2005,14
2005,16
2005,10
2005,12
2005,20
2005,12
2005,19
2005,14
2005,12
2005,14
2005,14
2005,9
2005,12
2005,18
2005,11
2005,20
2005,14
2005,10
2005,12
2005,9
2005,9
2005,15
2005,1
2005,26
2005,10
2005,12
2005,19
2005,13
2005,15
2005,16
2005,9
2005,1
2005,1
2005,25
2005,16
2005,4
2005,17
2005,12
2005,17
2005,16
2005,20
2005,13
2005,18
2005,16
2005,16
2005,19
2005,8
2005,20
2005,22
2005,1
2005,20
2005,16
2005,11
2005,8
2005,11
2005,13
2005,17
2005,16
2005,12
2005,13
2005,13
2005,14
2005,11
2005,12
2005,13
2005,14
2005,15
2005,14
2005,11
2005,14
2005,10
2005,6
2005,1
2005,17
2005,2
2005,19
2005,21
2005,16
2005,14
2005,16
2005,11
2005,17
2005,16
2005,18
2005,9
2005,14
2005,11
2005,11
2005,1
2005,12
2005,19
2005,14
2005,6
2005,11
2005,10
2005,11
2005,7
2005,10
2005,2
2005,7
2005,8
2005,16
2005,14
2005,14
2005,13
2005,18
2005,3
2005,22
2005,21
2005,13
2005,25
2005,10
2005,12
2005,11
2005,20
2005,11
2005,11
2005,8
2005,27
2005,21
2005,15
2005,10
2005,18
2005,2
2006,20
2006,10
2006,14
2006,13
2006,13
2006,14
2006,17
2006,1
2006,1
2006,15
2006,12
2006,15
2006,17
2006,13
2006,14
2006,1
2006,12
2006,26
2006,13
2006,13
2006,8
2006,10
2006,11
2006,19
2006,16
2006,1
2006,13
2006,16
2006,17
2006,11
2006,14
2006,1
2006,16
2006,19
2006,1
2006,23
2006,24
2006,19
2006,15
2006,8
2006,13
2006,14
2006,10
2006,13
2006,18
2006,13
2006,13
2006,22
2006,21
2006,20
2006,22
2006,30
2006,17
2006,19
2006,11
2006,18
2006,19
2006,16
2006,12
2006,29
2006,18
2006,20
2006,22
2006,19
2006,20
2006,1
2006,25
2006,21
2006,9
2006,12
2006,9
2006,21
2006,2
2006,13
2006,14
2006,7
2006,16
2006,13
2006,8
2006,12
2006,16
2006,20
2006,21
2006,20
2006,15
2006,11
2006,15
2006,24
2006,2
2006,16
2006,17
2006,11
2006,11
2006,16
2006,10
2006,19
2006,1
2006,16
2006,1
2006,19
2006,13
2006,13
2006,15
2006,22
2006,14
2006,4
2006,17
2006,14
2006,18
2006,8
2006,14
2006,20
2006,19
2006,1
2006,1
2006,18
2006,1
2006,17
2006,28
2006,16
2006,14
2006,18
2006,17
2006,13
2006,16
2006,25
2006,20
2006,12
2006,15
2006,15
2006,13
2006,17
2006,1
2006,1
2006,29
2006,21
2006,11
2006,9
2006,15
2006,19
2006,11
2006,2
2006,38
2006,9
2006,18
2006,14
2006,12
2006,13
2006,13
2006,22
2006,14
2006,10
2006,14
2006,24
2006,14
2006,13
2006,18
2006,20
2006,11
2006,8
2006,15
2006,22
2006,12
2006,16
2006,5
2006,11
2006,2
2006,1
2006,19
2006,21
2006,14
2006,15
2006,14
2006,7
2006,13
2006,12
2006,1
2006,13
2006,1
2006,17
2006,14
2006,18
2006,23
2006,12
2006,6
2006,17
2006,15
2006,18
2006,15
2006,15
2006,13
2006,13
2006,17
2006,20
2006,18
2006,18
2006,17
2006,19
2006,15
2006,9
2006,19
2006,13
2006,19
2006,11
2006,16
2006,25
2006,17
2006,22
2006,9
2006,26
2006,17
2006,1
2006,16
2006,13
2006,5
2006,15
2006,7
2006,15
2006,15
2006,11
2006,14
2006,14
2006,16
2006,13
2006,10
2006,9
2006,23
2006,11
2006,17
2006,16
2006,11
2006,15
2006,3
2006,1
2006,24
2006,2
2006,23
2006,17
2006,14
2006,13
2006,16
2006,1
2006,23
2006,20
2006,16
2006,11
2006,11
2006,21
2006,10
2006,15
2006,1
2006,21
2006,26
2006,24
2006,15
2006,18
2006,15
2006,11
2006,20
2006,1
2006,1
2006,16
2006,17
2006,18
2006,16
2006,12
2006,11
2006,1
2006,4
2006,23
2006,19
2006,14
2006,21
2006,18
2006,17
2006,10
2006,1
2006,1
2006,16
2006,13
2006,14
2006,26
2006,14
2006,19
2006,23
2006,13
2006,15
2007,25
2007,20
2007,16
2007,15
2007,9
2007,17
2007,25
2007,14
2007,20
2007,17
2007,12
2007,19
2007,24
2007,17
2007,21
2007,2
2007,13
2007,16
2007,12
2007,18
2007,18
2007,14
2007,30
2007,17
2007,1
2007,2
2007,24
2007,27
2007,18
2007,24
2007,12
2007,12
2007,18
2007,18
2007,15
2007,19
2007,17
2007,18
2007,20
2007,14
2007,24
2007,18
2007,3
2007,21
2007,23
2007,26
2007,20
2007,20
2007,16
2007,4
2007,19
2007,31
2007,22
2007,28
2007,23
2007,11
2007,18
2007,12
2007,21
2007,14
2007,13
2007,12
2007,15
2007,15
2007,12
2007,24
2007,20
2007,1
2007,13
2007,13
2007,8
2007,18
2007,19
2007,1
2007,32
2007,15
2007,12
2007,21
2007,6
2007,17
2007,16
2007,18
2007,16
2007,1
2007,15
2007,18
2007,18
2007,19
2007,22
2007,15
2007,22
2007,23
2007,19
2007,18
2007,11
2007,14
2007,10
2007,17
2007,18
2007,12
2007,1
2007,19
2007,17
2007,18
2007,23
2007,19
2007,1
2007,17
2007,3
2007,13
2007,1
2007,15
2007,24
2007,14
2007,20
2007,13
2007,17
2007,21
2007,18
2007,1
2007,1
2007,15
2007,22
2007,20
2007,15
2007,8
2007,18
2007,2
2007,1
2007,17
2007,16
2007,21
2007,23
2007,15
2007,15
2007,15
2007,11
2007,2
2007,13
2007,16
2007,16
2007,25
2007,17
2007,17
2007,13
2007,11
2007,40
2007,13
2007,17
2007,16
2007,16
2007,16
2007,24
2007,22
2007,1
2007,23
2007,22
2007,16
2007,18
2007,14
2007,16
2007,17
2007,19
2007,20
2007,11
2007,11
2007,17
2007,10
2007,13
2007,15
2007,1
2007,34
2007,19
2007,9
2007,24
2007,9
2007,11
2007,20
2007,22
2007,4
2007,20
2007,21
2007,13
2007,11
2007,11
2007,16
2007,1
2007,19
2007,17
2007,15
2007,20
2007,16
2007,15
2007,18
2007,21
2007,20
2007,1
2007,18
2007,21
2007,12
2007,17
2007,27
2007,28
2007,19
2007,23
2007,16
2007,14
2007,13
2007,20
2007,20
2007,13
2007,1
2007,1
2007,24
2007,15
2007,15
2007,17
2007,13
2007,11
2007,2
2007,26
2007,15
2007,17
2007,23
2007,10
2007,10
2007,1
2007,11
2007,16
2007,13
2007,14
2007,24
2007,9
2007,14
2007,17
2007,15
2007,1
2007,29
2007,21
2007,17
2007,25
2007,22
2007,14
2007,1
2007,1
2007,12
2007,18
2007,17
2007,16
2007,19
2007,20
2007,21
2007,20
2007,17
2007,17
2007,24
2007,14
2007,16
2007,1
2007,15
2007,1
2007,18
2007,21
2007,30
2007,13
2007,18
2007,13
2007,14
2007,22
2007,13
2007,19
2007,19
2007,21
2007,19
2007,24
2007,2
2007,16
2007,28
2007,1
2007,19
2007,15
2007,18
2007,14
2007,11
2007,13
2007,9
2007,6
2008,20
2008,18
2008,18
2008,22
2008,15
2008,13
2008,1
2008,25
2008,1
2008,19
2008,20
2008,20
2008,21
2008,20
2008,18
2008,23
2008,1
2008,35
2008,21
2008,17
2008,16
2008,19
2008,1
2008,15
2008,18
2008,21
2008,14
2008,20
2008,27
2008,13
2008,15
2008,18
2008,1
2008,18
2008,11
2008,22
2008,21
2008,20
2008,19
2008,18
2008,20
2008,1
2008,14
2008,25
2008,19
2008,21
2008,18
2008,13
2008,15
2008,24
2008,26
2008,20
2008,16
2008,17
2008,18
2008,13
2008,16
2008,2
2008,19
2008,3
2008,20
2008,20
2008,16
2008,22
2008,25
2008,6
2008,15
2008,12
2008,12
2008,21
2008,9
2008,33
2008,8
2008,12
2008,16
2008,20
2008,27
2008,25
2008,13
2008,12
2008,21
2008,16
2008,15
2008,18
2008,22
2008,21
2008,19
2008,12
2008,19
2008,16
2008,18
2008,23
2008,1
2008,1
2008,19
2008,16
2008,14
2008,13
2008,15
2008,6
2008,14
2008,1
2008,6
2008,16
2008,15
2008,16
2008,18
2008,15
2008,22
2008,28
2008,13
2008,1
2008,1
2008,20
2008,21
2008,13
2008,14
2008,15
2008,12
2008,12
2008,2
2008,12
2008,3
2008,2
2008,25
2008,20
2008,20
2008,14
2008,21
2008,14
2008,21
2008,1
2008,1
2008,1
2008,9
2008,16
2008,18
2008,12
2008,11
2008,15
2008,18
2008,29
2008,17
2008,15
2008,16
2008,11
2008,13
2008,14
2008,13
2008,15
2008,14
2008,25
2008,18
2008,24
2008,14
2008,19
2008,2
2008,21
2008,1
2008,20
2008,29
2008,18
2008,18
2008,11
2008,17
2008,24
2008,1
2008,1
2008,24
2008,17
2008,13
2008,16
2008,17
2008,27
2008,24
2008,22
2008,1
2008,14
2008,25
2008,20
2008,25
2008,13
2008,18
2008,17
2008,22
2008,25
2008,19
2008,10
2008,14
2008,20
2008,16
2008,23
2008,25
2008,22
2008,22
2008,23
2008,19
2008,24
2008,2
2008,16
2008,1
2008,17
2008,26
2008,15
2008,17
2008,25
2008,23
2008,17
2008,21
2008,17
2008,18
2008,14
2008,21
2008,11
2008,16
2008,24
2008,27
2008,19
2008,2
2008,12
2008,22
2008,14
2008,20
2008,1
2008,28
2008,16
2008,26
2008,18
2008,12
2008,20
2008,18
2008,2
2008,26
2008,22
2008,24
2008,17
2008,28
2008,17
2008,23
2008,23
2008,11
2008,16
2008,23
2008,16
2008,18
2008,17
2008,23
2008,18
2008,23
2008,16
2008,15
2008,20
2008,12
2008,15
2008,1
2008,12
2008,22
2008,19
2008,13
2008,18
2008,16
2008,18
2008,1
2008,1
2008,1
2008,20
2008,23
2008,17
2008,20
2008,15
2008,23
2008,22
2008,20
2008,23
2008,21
2008,20
2008,14
2008,16
2008,25
2008,18
2008,15
2008,1
2008,14
2008,19
2008,13
2008,13
2008,22
2008,14
2008,1
2008,14
2009,1
2009,23
2009,23
2009,19
2009,18
2009,25
2009,19
2009,1
2009,34
2009,16
2009,15
2009,13
2009,19
2009,22
2009,11
2009,14
2009,1
2009,20
2009,12
2009,28
2009,32
2009,25
2009,20
2009,22
2009,1
2009,20
2009,3
2009,31
2009,1
2009,27
2009,13
2009,20
2009,23
2009,17
2009,1
2009,1
2009,1
2009,26
2009,15
2009,22
2009,19
2009,25
2009,15
2009,16
2009,2
2009,18
2009,1
2009,27
2009,29
2009,15
2009,20
2009,23
2009,27
2009,22
2009,19
2009,17
2009,27
2009,14
2009,17
2009,21
2009,17
2009,15
2009,1
2009,17
2009,21
2009,19
2009,20
2009,22
2009,17
2009,13
2009,25
2009,21
2009,13
2009,12
2009,9
2009,10
2009,25
2009,23
2009,26
2009,1
2009,12
2009,2
2009,12
2009,24
2009,13
2009,15
2009,2
2009,21
2009,1
2009,1
2009,27
2009,23
2009,29
2009,23
2009,22
2009,25
2009,22
2009,1
2009,12
2009,22
2009,17
2009,15
2009,15
2009,26
2009,17
2009,26
2009,2
2009,28
2009,26
2009,16
2009,27
2009,35
2009,17
2009,25
2009,19
2009,21
2009,20
2009,31
2009,18
2009,21
2009,16
2009,14
2009,1
2009,23
2009,1
2009,21
2009,22
2009,21
2009,23
2009,19
2009,25
2009,19
2009,16
2009,18
2009,30
2009,17
2009,13
2009,22
2009,1
2009,16
2009,22
2009,28
2009,27
2009,25
2009,20
2009,18
2009,22
2009,19
2009,23
2009,21
2009,18
2009,22
2009,29
2009,19
2009,18
2009,24
2009,25
2009,15
2009,17
2009,22
2009,25
2009,17
2009,28
2009,24
2009,20
2009,22
2009,30
2009,16
2009,24
2009,1
2009,23
2009,17
2009,26
2009,18
2009,24
2009,24
2009,21
2009,17
2009,1
2009,28
2009,21
2009,23
2009,25
2009,21
2009,24
2009,21
2009,14
2009,1
2009,14
2009,22
2009,23
2009,21
2009,26
2009,18
2009,36
2009,22
2009,2
2009,23
2009,20
2009,21
2009,25
2009,11
2009,19
2009,24
2009,1
2009,24
2009,11
2009,16
2009,15
2009,20
2009,19
2009,22
2009,24
2009,2
2009,16
2009,12
2009,12
2009,50
2009,20
2009,1
2009,22
2009,1
2009,1
2009,28
2009,19
2009,22
2009,30
2009,22
2009,17
2009,16
2009,22
2009,24
2009,20
2009,19
2009,14
2009,18
